POPULATION_2023,ASSAULT_2014,ASSAULT_2015,ASSAULT_2016,ASSAULT_2017,ASSAULT_2018,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_2023,AREA_NAME
21987,63,61,70,82,85,70,82,121,128,101,South Eglinton-Davisville
15077,45,52,43,52,55,77,72,104,130,105,North Toronto
13837,56,57,79,94,94,96,75,101,95,104,Dovercourt Village
26240,154,157,166,157,157,182,169,178,139,229,Junction-Wallace Emerson
14731,394,524,487,603,576,660,383,323,443,543,Yonge-Bay Corridor
19055,104,100,123,154,135,164,101,147,120,142,Bay-Cloverhill
20773,137,148,172,166,182,204,134,129,166,237,Bendale-Glen Andrew
17003,114,127,131,137,127,143,128,134,153,208,Downsview
21503,221,232,230,278,302,295,235,293,310,447,Oakdale-Beverley Heights
16149,38,40,43,49,74,46,43,56,37,50,Avondale
18285,43,34,53,47,46,52,40,53,58,48,East Willowdale
23234,69,71,78,85,86,81,64,77,83,104,Yonge-Doris
22909,106,101,120,96,90,104,112,84,103,130,Fenside-Parkwoods
14788,46,45,49,57,46,56,37,51,62,96,Parkwoods-O'Connor Hills
23988,59,90,83,86,75,92,104,79,77,83,East L'Amoreaux
24374,68,73,93,100,88,107,82,101,95,118,L'Amoreaux West
28098,141,193,173,180,177,217,167,142,129,145,Malvern East
19412,78,90,107,111,101,119,72,89,85,93,Malvern West
28167,103,121,90,105,110,113,82,86,101,119,Morningside Heights
22396,84,60,61,90,86,75,66,66,62,70,West Rouge
29500,148,170,173,178,177,210,181,178,183,186,Woburn North
28651,207,227,195,228,200,226,168,185,198,193,Golfdale-Cedarbrae-Woburn
10332,51,39,44,44,47,30,37,36,37,56,Guildwood
17713,161,152,191,149,179,174,180,120,156,153,Scarborough Village
24231,185,178,205,204,185,197,146,161,174,168,Eglinton East
29259,348,395,422,401,422,439,336,328,382,443,West Hill
18463,121,139,163,159,135,177,106,83,125,131,Morningside
13871,52,51,71,68,50,63,33,42,60,64,Highland Creek
14609,50,38,48,46,44,49,47,37,39,39,Centennial Scarborough
28371,68,86,88,77,73,96,85,64,67,89,Milliken
31260,67,77,82,75,80,81,74,62,78,82,Agincourt North
28097,104,103,130,111,118,121,127,152,177,191,Agincourt South-Malvern West
26286,135,167,196,195,201,165,129,141,187,218,Dorset Park
14121,97,103,104,85,89,80,85,92,83,126,Ionview
18173,218,252,214,197,221,222,183,182,226,317,Kennedy Park
17922,81,99,110,119,138,136,110,98,134,183,Cliffcrest
23417,140,133,198,161,199,209,146,142,159,209,Birchcliffe-Cliffside
18023,343,398,357,475,503,620,508,599,543,656,Downtown Yonge East
22938,223,206,296,308,362,350,306,399,385,334,Church-Wellesley
31003,182,201,228,228,317,282,278,365,403,445,St Lawrence-East Bayfront-The Islands
31477,131,144,144,182,149,185,224,283,266,271,Harbourfront-CityPlace
28870,449,515,559,531,489,425,320,375,474,429,Wellington Place
21860,97,112,99,99,130,125,93,153,164,167,Fort York-Liberty Village
15136,130,138,122,136,107,115,102,112,117,108,West Queen West
20822,58,77,77,81,75,94,82,102,121,152,Humber Bay Shores
18313,148,128,166,262,413,230,205,268,343,519,Mimico-Queensway
25495,144,159,130,135,155,137,142,156,205,308,Etobicoke City Centre
25937,88,52,84,72,83,77,75,56,96,137,Islington
10881,59,71,80,103,84,67,79,62,41,82,Bendale South
10581,57,61,64,69,62,75,51,65,61,63,Caledonia-Fairbank
15146,66,79,64,67,78,74,75,65,91,89,Briar Hill-Belgravia
22404,118,145,147,123,139,164,126,103,164,112,Oakwood Village
15620,37,49,53,41,47,45,42,49,42,54,Humewood-Cedarvale
15581,26,25,22,34,21,37,43,38,32,32,Lawrence Park North
16778,15,31,19,22,14,24,27,35,33,33,Lawrence Park South
13172,24,28,28,38,33,40,40,40,45,63,Forest Hill North
12160,24,16,12,27,13,28,26,18,33,43,Forest Hill South
13743,53,62,66,64,59,90,91,64,123,104,Yonge-Eglinton
18084,29,32,19,43,38,58,42,47,54,77,Mount Pleasant East
23053,65,106,109,109,131,129,148,150,215,271,Rosedale-Moore Park
13953,16,26,32,26,27,35,23,50,45,35,Yonge-St.Clair
11972,26,34,43,34,44,55,65,46,59,56,Casa Loma
34502,212,226,260,252,246,283,259,304,365,396,Annex
14609,54,70,82,56,75,69,84,60,85,89,Wychwood
14784,72,84,70,89,91,93,85,114,99,147,Corso Italia-Davenport
12330,92,95,83,77,87,115,102,92,101,119,Weston-Pelham Park
15252,101,101,107,90,133,93,103,115,113,136,Junction Area
15389,169,184,143,167,163,165,158,189,186,215,Oakridge
28782,257,269,253,255,299,295,197,239,256,278,Clairlea-Birchmount
29870,189,220,202,204,202,242,163,212,209,260,Wexford/Maryvale
29770,105,95,102,125,132,114,135,119,118,136,Tam O'Shanter-Sullivan
26395,46,36,44,41,33,47,39,51,45,49,Steeles
14256,97,102,110,103,94,92,72,98,119,122,Mount Dennis
8294,29,42,21,22,25,26,31,34,54,31,Lambton Baby Point
19809,174,151,183,179,156,191,204,204,242,243,Weston
7057,60,67,62,62,47,67,47,57,70,82,Beechborough-Greenbrook
23453,134,136,142,113,132,148,126,139,174,180,Rockcliffe-Smythe
11969,71,63,55,61,78,60,84,75,105,112,Keelesdale-Eglinton West
14699,84,80,69,83,83,95,60,78,85,77,Palmerston-Little Italy
7564,134,155,124,160,126,129,74,92,110,127,University
21229,327,372,370,420,435,381,394,380,381,482,Kensington-Chinatown
20492,153,158,136,160,167,228,232,261,221,276,North St.James Town
22207,360,401,471,449,556,642,756,637,548,627,Moss Park
14166,103,104,122,122,139,172,144,179,127,160,Regent Park
11968,86,105,127,100,116,146,140,125,136,131,Cabbagetown-South St.James Town
30135,211,203,232,240,299,256,218,230,302,339,South Riverdale
8229,77,71,65,64,67,73,58,51,59,81,Blake-Jones
12168,49,65,51,66,55,73,35,54,76,80,North Riverdale
7764,48,38,68,66,51,74,71,53,95,106,Playter Estates-Danforth
10173,83,89,74,78,101,83,60,83,115,132,Danforth
15400,112,143,101,78,121,129,119,113,117,127,Greenwood-Coxwell
13282,91,75,84,80,96,102,71,78,110,102,Woodbine Corridor
23097,88,110,84,113,100,84,87,91,121,113,The Beaches
23011,177,190,167,172,182,183,144,183,215,218,East End-Danforth
16157,119,95,97,100,123,115,112,116,115,144,Taylor-Massey
8141,51,41,36,34,41,35,31,33,41,32,Woodbine-Lumsden
17883,75,56,50,82,84,88,59,61,70,102,Danforth East York
9540,47,50,39,40,58,45,28,35,67,63,Old East York
10772,27,39,37,32,31,43,32,25,42,58,Runnymede-Bloor West Village
24474,80,91,90,105,103,91,89,95,129,187,High Park North
26135,88,123,97,97,84,103,78,87,101,106,High Park-Swansea
15939,78,117,119,112,85,112,111,90,98,136,Roncesvalles
23054,205,227,237,235,220,256,251,274,274,324,South Parkdale
17399,82,80,110,93,87,88,84,107,113,129,Little Portugal
12709,94,91,94,85,118,91,86,89,86,148,Dufferin Grove
17814,120,112,137,128,123,114,103,127,137,139,Trinity-Bellwoods
29424,112,137,135,128,123,149,99,120,117,166,Don Valley Village
16732,32,42,52,44,39,44,40,26,32,52,Pleasant View
23485,131,150,159,126,148,153,132,148,142,167,Flemingdon Park
18592,103,127,126,75,108,122,114,97,122,146,Victoria Village
31047,60,78,83,107,74,75,80,87,108,132,Banbury-Don Mills
10707,17,31,20,26,33,45,47,44,36,48,Bridle Path-Sunnybrook-York Mills
20205,53,41,53,47,59,63,48,50,58,58,St.Andrew-Windfields
25583,60,28,34,52,39,59,52,44,42,52,Bedford Park-Nortown
17872,39,77,65,84,65,70,97,93,66,89,Lansing-Westgate
19546,77,101,95,75,95,105,82,82,120,115,Willowdale West
26265,143,113,139,111,169,157,175,202,229,200,Newtonbrook West
27742,81,94,111,100,100,105,93,89,88,119,Westminster-Branson
17255,46,47,71,56,67,57,60,55,58,88,Bathurst Manor
19089,75,63,57,61,85,91,81,97,117,134,Clanton Park
24465,79,83,130,106,97,112,102,88,86,125,Englemount-Lawrence
17258,106,137,175,161,176,206,157,162,180,207,Yorkdale-Glen Park
18738,87,101,121,122,105,105,94,138,159,166,Brookhaven-Amesbury
10575,21,31,42,18,27,28,28,32,51,50,Maple Leaf
10404,53,66,74,64,72,64,60,62,73,89,Rustic
29897,271,294,361,342,355,378,347,331,333,409,York University Heights
32251,296,310,315,288,307,351,285,315,283,327,Glenfield-Jane Heights
12200,49,58,46,57,57,69,62,55,60,81,Broadview North
18185,40,28,40,38,36,31,29,50,33,38,Leaside-Bennington
22508,87,106,89,100,93,121,98,118,114,128,Thorncliffe Park
19901,182,161,127,132,133,143,114,115,161,133,O'Connor-Parkview
22782,62,63,73,74,76,86,87,99,96,107,Henry Farm
25685,83,106,78,60,62,70,70,71,120,137,Bayview Village
17338,76,76,94,81,86,85,60,85,81,87,Newtonbrook East
13641,35,43,37,31,43,47,33,27,40,60,Bayview Woods-Steeles
18076,65,58,40,52,70,68,50,44,41,68,Hillcrest Village
13503,44,47,39,21,30,36,37,27,43,44,Alderwood
11601,64,67,60,65,57,59,70,95,90,96,Long Branch
12205,86,103,98,101,105,108,87,116,163,168,New Toronto
26728,95,73,81,105,88,91,109,82,104,137,Stonegate-Queensway
10257,23,33,27,20,31,29,11,30,21,65,Kingsway South
12713,45,59,46,53,45,52,63,48,52,66,Etobicoke West Mall
10741,23,12,26,23,24,14,42,25,35,45,Markland Wood
19558,55,64,61,58,34,44,42,38,57,90,Eringate-Centennial-West Deane
12552,24,15,35,27,21,26,23,25,27,25,Princess-Rosethorn
17271,25,24,29,28,23,35,33,35,31,53,Edenbridge-Humber Valley
11398,24,34,31,38,39,36,23,31,32,53,Humber Heights-Westmount
24097,83,71,98,99,78,96,95,57,98,123,Willowridge-Martingrove-Richview
22759,92,121,128,107,97,97,100,99,132,151,Kingsview Village-The Westway
9884,45,53,69,62,56,71,49,69,64,61,Elms-Old Rexdale
10722,50,59,70,86,76,58,49,48,58,76,Rexdale-Kipling
10530,63,58,48,56,53,75,56,61,52,66,Thistletown-Beaumond Heights
35386,240,236,275,278,256,275,207,212,262,297,Mount Olive-Silverstone-Jamestown
36388,288,306,293,302,318,257,250,243,269,322,West Humber-Clairville
23047,212,214,264,229,186,205,260,207,232,231,Black Creek
12121,60,49,62,54,74,78,55,57,82,104,Pelmo Park-Humberlea
16568,117,135,114,158,120,168,95,134,119,159,Humbermede
13425,76,90,118,115,109,113,92,101,127,165,Humber Summit